commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
31.853,2018-10-30 14:45:00,145,3114.6,2018-11-05 14:35:00,146,3256.0,1372.1470000000008,10.0,IF88:CTP,63706.0,10
32.716,2018-11-05 14:35:00,147,3256.0,2018-11-16 13:00:00,148,3287.2,-354.7159999999982,10.0,IF88:CTP,65432.0,-10
31.666000000000004,2018-11-30 11:00:00,149,3157.8,2018-11-30 14:40:00,150,3175.4,-217.6659999999991,10.0,IF88:CTP,63332.00000000001,-10
32.583,2018-12-04 14:30:00,151,3270.2,2018-12-05 09:35:00,152,3246.4,-280.58299999999724,10.0,IF88:CTP,65166.0,10
31.096000000000004,2018-12-14 10:10:00,153,3195.4,2018-12-25 14:05:00,154,3023.8,1674.903999999999,10.0,IF88:CTP,62192.00000000001,-10
30.106000000000005,2018-12-25 14:05:00,155,3023.8,2018-12-26 13:10:00,156,2997.4,-304.1060000000009,10.0,IF88:CTP,60212.00000000001,10
30.043999999999997,2018-12-26 13:40:00,157,2995.2,2018-12-26 14:05:00,158,3013.6,-224.0440000000009,10.0,IF88:CTP,60087.99999999999,-10
30.028999999999996,2018-12-26 14:05:00,159,3013.6,2018-12-27 14:35:00,160,2992.2,-254.0290000000009,10.0,IF88:CTP,60057.99999999999,10
30.095,2018-12-28 10:10:00,161,3003.6,2018-12-28 10:25:00,162,3015.4,-158.09500000000182,10.0,IF88:CTP,60190.0,-10
30.139,2018-12-28 10:25:00,163,3015.4,2019-01-02 09:30:00,164,3012.4,-70.139,10.0,IF88:CTP,60278.0,10
29.916,2019-01-03 10:05:00,165,3004.2,2019-01-03 10:25:00,166,2979.0,-291.9159999999982,10.0,IF88:CTP,59832.0,10
30.775000000000002,2019-01-10 09:30:00,167,3069.0,2019-01-10 11:20:00,168,3086.0,-210.775,10.0,IF88:CTP,61550.0,-10
30.876,2019-01-10 11:25:00,169,3091.6,2019-01-10 13:35:00,170,3083.6,-120.876,10.0,IF88:CTP,61752.0,10
30.918999999999997,2019-01-10 13:35:00,171,3083.6,2019-01-11 09:50:00,172,3100.2,-206.91899999999907,10.0,IF88:CTP,61837.99999999999,-10
32.635,2019-01-15 09:45:00,173,3084.0,2019-02-21 14:20:00,174,3443.0,3547.365,10.0,IF88:CTP,65270.0,10
34.516,2019-02-21 14:20:00,175,3443.0,2019-02-22 13:20:00,176,3460.2,-216.51599999999817,10.0,IF88:CTP,69032.0,-10
35.928,2019-02-22 13:20:00,177,3460.2,2019-03-12 14:20:00,178,3725.4,2606.072000000003,10.0,IF88:CTP,71856.0,10
37.352000000000004,2019-03-12 14:20:00,179,3725.4,2019-03-12 14:35:00,180,3745.0,-243.3519999999991,10.0,IF88:CTP,74704.0,-10
37.288000000000004,2019-03-12 14:35:00,181,3745.0,2019-03-13 10:35:00,182,3712.6,-371.2880000000009,10.0,IF88:CTP,74576.0,10
37.613,2019-03-13 13:50:00,183,3743.8,2019-03-15 10:50:00,184,3778.8,-397.613,10.0,IF88:CTP,75226.0,-10
37.849000000000004,2019-03-15 13:40:00,185,3742.8,2019-03-20 09:35:00,186,3827.0,794.1509999999981,10.0,IF88:CTP,75698.0,10
38.343,2019-03-20 09:35:00,187,3827.0,2019-03-20 09:50:00,188,3841.6,-194.3429999999991,10.0,IF88:CTP,76686.0,-10
38.363,2019-03-20 09:50:00,189,3841.6,2019-03-20 10:10:00,190,3831.0,-154.3629999999991,10.0,IF88:CTP,76726.0,10
38.445,2019-03-20 10:10:00,191,3831.0,2019-03-20 11:05:00,192,3858.0,-318.445,10.0,IF88:CTP,76890.0,-10
38.376,2019-03-21 14:10:00,193,3849.2,2019-03-22 10:20:00,194,3826.0,-280.37599999999816,10.0,IF88:CTP,76752.0,10
37.852000000000004,2019-03-22 13:55:00,195,3829.4,2019-03-25 14:58:00,LastDay,3741.0,836.1480000000009,10.0,IF88:CTP,75704.0,-10
